Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2001-05-24,23.071585,17.439388,24.681969,12.774789,23.73031,23.21513,15.905742000000002,24.458029,18.244942
2001-05-25,22.957767,17.296381,24.469398,12.603402,23.558916,22.870169,15.926435000000001,23.996707999999998,17.959173
2001-05-29,22.778914999999998,17.439388,24.432737,12.612196,23.37973,22.811455,16.140257000000002,23.098349,17.948185000000002
2001-05-30,22.364314999999998,17.534719,24.337442000000003,12.506721,23.30183,22.349054000000002,15.809179,22.159525,17.87125
2001-05-31,22.722017,17.412146,24.594009,12.616589,23.294037,22.657320000000002,15.829867000000002,22.361857999999998,18.151522
2001-06-01,22.640718,17.643675,24.48406,12.594617,23.223913,22.591263,15.960918,22.742243,17.997641
2001-06-04,22.567558,17.670914,24.813932,12.695691,23.255095,22.738047,16.140257000000002,22.693689000000003,18.008636
2001-06-05,22.835823,17.854773,24.887232,12.752817,23.473219,22.980261,16.326492000000002,23.592047,17.744851999999998
2001-06-06,22.600075,17.568768,24.256798,12.656136,23.286248999999998,22.716036,16.036798,23.365427,17.601967000000002
2001-06-07,22.770788,17.691347,23.970907,12.572639,23.418688,22.818796,16.223026,24.029085000000002,17.453595999999997
2001-06-08,22.852089000000003,17.589195,24.036892,12.497933999999999,23.294037,22.539881,16.160951999999998,23.494925,17.519541
2001-06-11,22.510649,17.344054999999997,24.102863,12.379287,23.177176,22.150885,15.933333,23.106438,17.684407999999998
2001-06-12,22.681366,17.548334,24.286131,12.418834,23.122643,22.297686,15.795379999999998,22.928392000000002,17.838276
2001-06-13,22.437479,17.412146,24.168842,12.317761,23.013569,22.216935999999997,15.850556,22.410416,17.470078
2001-06-14,22.201725,17.398533,23.677694,12.102433,22.585089,22.070148,15.450507,21.609173000000002,16.953508
2001-06-15,21.980942000000002,17.29674,23.855188000000002,12.164626,22.52429,21.956146,15.401313,21.406845,17.058108999999998
2001-06-18,22.217203,17.351395,23.590052,12.195499,22.181366,21.926716,15.248887,20.87269,17.080261
2001-06-19,22.290533,17.406044,23.567951,12.305769999999999,22.243719,21.698704,15.283535,20.953617,17.146669
2001-06-20,22.616419,17.501682000000002,23.126049,12.37193,22.726931,21.794329,15.4221,21.172142,17.190948000000002
2001-06-21,23.023769,17.651974,22.779907,12.870331,22.984129,21.88994,15.345885999999998,21.568707,16.742632
2001-06-22,22.795648999999997,17.160122,23.221806,12.702721,22.687965,21.698704,15.103403,21.366379000000002,16.930809
2001-06-25,22.502346,17.071312,22.949293,12.601285,22.742523000000002,21.411835,14.930195999999999,21.673925,16.731564000000002
2001-06-26,22.200914,17.071312,23.089226,12.442496,22.391806,21.470678,15.068757999999999,21.795326,16.980627
2001-06-27,22.094998999999998,16.941519,22.536858,12.446909,22.758110000000002,21.426556,15.207322,21.843885,17.019363000000002
2001-06-28,22.445324,17.050819,22.058135999999998,12.610107000000001,22.929575,21.500099,15.221174,22.272833,17.058108999999998
2001-06-29,22.543093,16.606787,22.352732,12.526299,23.030893,21.257366,15.283535,22.798901,17.240767
2001-07-02,22.763063,16.98934,22.293812,12.680679,23.194571,21.566294,15.442878,22.782713,17.290573000000002
2001-07-03,22.722324,16.852715,22.264351,12.67185,23.194571,21.698704,15.394379,22.701778,17.33485
2001-07-05,22.257935,16.750239999999998,22.463207,12.59246,22.921782,21.529522,15.332026,21.973372,17.478748
2001-07-06,21.728378,16.552132,22.382195,12.336641,22.49312,21.13233,15.151902,20.961707999999998,17.462156
2001-07-09,21.883181,16.804893,22.065493,12.376339,22.368412,21.198524,15.290458,21.228788,17.62266
2001-07-10,21.785404,16.668267999999998,22.094965,12.076409,22.368412,20.874882,15.124182000000001,20.581329,17.65033
2001-07-11,22.021683,16.579468,21.800362,12.054358,22.352829,20.661573,15.172679,20.686541000000002,17.733353
2001-07-12,22.974885999999998,16.476995000000002,21.770901000000002,12.26607,22.571054,21.161742999999998,15.498307,22.062401,17.550704999999997
2001-07-13,23.349655,16.599953,21.851913,12.411624,22.726931,21.330919,15.512159,22.127146,17.506424
2001-07-16,23.414835,16.476995000000002,21.491026,12.235192999999999,22.617815,20.970503,15.262751000000002,21.592997,17.628191
2001-07-17,23.545189,16.722921,21.395281,12.486604,22.773701000000003,21.397129,15.200395,21.851978,17.655869
2001-07-18,23.561478,17.201110999999997,21.166965,12.416025,22.54768,21.46332,15.574515,21.018362,17.473221
2001-07-19,23.724421,17.037160999999998,21.387915,12.332233,22.415184,21.404476000000003,15.609164000000002,21.406845,17.58391
2001-07-20,23.748863,17.269417,21.844547,12.27489,22.469735999999997,21.514816,15.505235,21.28545,17.213089
2001-07-23,23.308923999999998,16.866375,21.594137,12.208735,22.033278,21.279435999999997,15.200395,20.767475,16.742632
2001-07-24,22.974885999999998,16.73658,20.820816,12.049949,21.931959,20.713060000000002,14.743139999999999,20.492296,16.261105
2001-07-25,23.422974,16.859545,21.785622,12.142566,22.056662,20.852816,15.054907,20.92934,16.980627
2001-07-26,23.447426,16.866375,22.227528,12.239606,22.703548,21.058771,14.971767000000002,21.325914,17.041508
2001-07-27,23.382246,16.866375,22.330639,12.310179,22.734722,21.257366,15.013332,21.293549,17.030441
2001-07-30,23.537036999999998,17.078139999999998,22.352732,12.270481,22.734722,21.213242,14.909414000000002,21.228788,17.224159
2001-07-31,23.545189,17.112301000000002,22.094965,12.407209,22.571054,21.213242,15.241964000000001,21.220692,17.085791
2001-08-01,23.52075,17.112301000000002,22.013945,12.460136,22.54768,21.330919,15.172679,21.787226,17.285044
2001-08-02,23.667397,17.009829,21.999214000000002,12.442496,22.781489999999998,21.36034,15.068757999999999,22.086687,17.257368
2001-08-03,23.5126,17.132792000000002,21.667791,12.495422,22.594439,21.46332,15.034120000000001,21.771044,17.207546
